id,BookTitle,Category
0,It's Only the Himalayas,Travel
1,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Travel
2,See America: A Celebration of Our National Parks & Treasured Sites,Travel
3,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Travel
4,Under the Tuscan Sun,Travel
5,A Summer In Europe,Travel
6,The Great Railway Bazaar,Travel
7,A Year in Provence (Provence #1),Travel
8,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Travel
9,Neither Here nor There: Travels in Europe,Travel
10,"1,000 Places to See Before You Die",Travel
11,Sharp Objects,Mystery
12,"In a Dark, Dark Wood",Mystery
13,The Past Never Ends,Mystery
14,A Murder in Time,Mystery
15,The Murder of Roger Ackroyd (Hercule Poirot #4),Mystery
16,The Last Mile (Amos Decker #2),Mystery
17,That Darkness (Gardiner and Renner #1),Mystery
18,Tastes Like Fear (DI Marnie Rome #3),Mystery
19,A Time of Torment (Charlie Parker #14),Mystery
20,A Study in Scarlet (Sherlock Holmes #1),Mystery
21,Poisonous (Max Revere Novels #3),Mystery
22,Murder at the 42nd Street Library (Raymond Ambler #1),Mystery
23,Most Wanted,Mystery
24,Hide Away (Eve Duncan #20),Mystery
25,Boar Island (Anna Pigeon #19),Mystery
26,The Widow,Mystery
27,Playing with Fire,Mystery
28,What Happened on Beale Street (Secrets of the South Mysteries #2),Mystery
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),Mystery
30,Delivering the Truth (Quaker Midwife Mystery #1),Mystery
31,Tipping the Velvet,Historical Fiction
32,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Historical Fiction
33,A Flight of Arrows (The Pathfinders #2),Historical Fiction
34,The House by the Lake,Historical Fiction
35,Mrs. Houdini,Historical Fiction
36,The Marriage of Opposites,Historical Fiction
37,Glory over Everything: Beyond The Kitchen House,Historical Fiction
38,"Love, Lies and Spies",Historical Fiction
39,A Paris Apartment,Historical Fiction
40,Lilac Girls,Historical Fiction
41,The Constant Princess (The Tudor Court #1),Historical Fiction
42,The Invention of Wings,Historical Fiction
43,World Without End (The Pillars of the Earth #2),Historical Fiction
44,The Passion of Dolssa,Historical Fiction
45,Girl With a Pearl Earring,Historical Fiction
46,Voyager (Outlander #3),Historical Fiction
47,The Red Tent,Historical Fiction
48,The Last Painting of Sara de Vos,Historical Fiction
49,The Guernsey Literary and Potato Peel Pie Society,Historical Fiction
50,Girl in the Blue Coat,Historical Fiction
51,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Sequential Art
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Sequential Art
53,This One Summer,Sequential Art
54,The Nameless City (The Nameless City #1),Sequential Art
55,"Saga, Volume 5 (Saga (Collected Editions) #5)",Sequential Art
56,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art
57,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art
58,"Pop Gun War, Volume 1: Gift",Sequential Art
59,Patience,Sequential Art
60,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art
61,orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art
62,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art
63,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art
64,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art
65,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art
66,I am a Hero Omnibus Volume 1,Sequential Art
67,"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art
68,Danganronpa Volume 1,Sequential Art
69,"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art
70,Camp Midnight,Sequential Art
71,The Secret Garden,Classics
72,The Metamorphosis,Classics
73,The Pilgrim's Progress,Classics
74,The Hound of the Baskervilles (Sherlock Holmes #5),Classics
75,Little Women (Little Women #1),Classics
76,Gone with the Wind,Classics
77,Candide,Classics
78,Animal Farm,Classics
79,Wuthering Heights,Classics
80,The Picture of Dorian Gray,Classics
81,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics
82,Beowulf,Classics
83,And Then There Were None,Classics
84,The Story of Hong Gildong,Classics
85,The Little Prince,Classics
86,Sense and Sensibility,Classics
87,Of Mice and Men,Classics
88,Emma,Classics
89,Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics
90,Sophie's World,Philosophy
91,The Death of Humanity: and the Case for Life,Philosophy
92,The Stranger,Philosophy
